"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","ResourceName","RDataPath","Tags"
"GSM1596831.bam","Bam file for single-cell ATAC-seq data (GEO Accession GSE65360). Original .fastq files were downloaded and then alignments were performed to obtained these files","3.12","hg19","BAM","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65360","Jan 01 2019","Homo sapiens",9606,TRUE,"GEO","Wenpin Hou <wp.hou3@gmail.com>","BamFile","BamFile","GSM1596831.bam","SCATEData/GSM1596831.bam:SCATEData/GSM1596831.bam.bai","bam"
"GSM1596840.bam","Bam file for single-cell ATAC-seq data (GEO Accession GSE65360). Original .fastq files were downloaded and then alignments were performed to obtained these files","3.12","hg19","BAM","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65360","Jan 01 2019","Homo sapiens",9606,TRUE,"GEO","Wenpin Hou <wp.hou3@gmail.com>","BamFile","BamFile","GSM1596840.bam","SCATEData/GSM1596840.bam:SCATEData/GSM1596840.bam.bai","bam"
"GSM1596874.bam","Bam file for single-cell ATAC-seq data (GEO Accession GSE65360). Original .fastq files were downloaded and then alignments were performed to obtained these files","3.12","hg19","BAM","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65360","Jan 01 2019","Homo sapiens",9606,TRUE,"GEO","Wenpin Hou <wp.hou3@gmail.com>","BamFile","BamFile","GSM1596874.bam","SCATEData/GSM1596874.bam:SCATEData/GSM1596874.bam.bai","bam"
"GSM1596881.bam","Bam file for single-cell ATAC-seq data (GEO Accession GSE65360). Original .fastq files were downloaded and then alignments were performed to obtained these files","3.12","hg19","BAM","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65360","Jan 01 2019","Homo sapiens",9606,TRUE,"GEO","Wenpin Hou <wp.hou3@gmail.com>","BamFile","BamFile","GSM1596881.bam","SCATEData/GSM1596881.bam:SCATEData/GSM1596881.bam.bai","bam"
"GSM1596940.bam","Bam file for single-cell ATAC-seq data (GEO Accession GSE65360). Original .fastq files were downloaded and then alignments were performed to obtained these files","3.12","hg19","BAM","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65360","Jan 01 2019","Homo sapiens",9606,TRUE,"GEO","Wenpin Hou <wp.hou3@gmail.com>","BamFile","BamFile","GSM1596940.bam","SCATEData/GSM1596940.bam:SCATEData/GSM1596940.bam.bai","bam"
"GSM1596942.bam","Bam file for single-cell ATAC-seq data (GEO Accession GSE65360). Original .fastq files were downloaded and then alignments were performed to obtained these files","3.12","hg19","BAM","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65360","Jan 01 2019","Homo sapiens",9606,TRUE,"GEO","Wenpin Hou <wp.hou3@gmail.com>","BamFile","BamFile","GSM1596942.bam","SCATEData/GSM1596942.bam:SCATEData/GSM1596942.bam.bai","bam"
"GSM1596944.bam","Bam file for single-cell ATAC-seq data (GEO Accession GSE65360). Original .fastq files were downloaded and then alignments were performed to obtained these files","3.12","hg19","BAM","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65360","Jan 01 2019","Homo sapiens",9606,TRUE,"GEO","Wenpin Hou <wp.hou3@gmail.com>","BamFile","BamFile","GSM1596944.bam","SCATEData/GSM1596944.bam:SCATEData/GSM1596944.bam.bai","bam"
"GSM1596961.bam","Bam file for single-cell ATAC-seq data (GEO Accession GSE65360). Original .fastq files were downloaded and then alignments were performed to obtained these files","3.12","hg19","BAM","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65360","Jan 01 2019","Homo sapiens",9606,TRUE,"GEO","Wenpin Hou <wp.hou3@gmail.com>","BamFile","BamFile","GSM1596961.bam","SCATEData/GSM1596961.bam:SCATEData/GSM1596961.bam.bai","bam"
"GSM1597041.bam","Bam file for single-cell ATAC-seq data (GEO Accession GSE65360). Original .fastq files were downloaded and then alignments were performed to obtained these files","3.12","hg19","BAM","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65360","Jan 01 2019","Homo sapiens",9606,TRUE,"GEO","Wenpin Hou <wp.hou3@gmail.com>","BamFile","BamFile","GSM1597041.bam","SCATEData/GSM1597041.bam:SCATEData/GSM1597041.bam.bai","bam"
"GSM1597096.bam","Bam file for single-cell ATAC-seq data (GEO Accession GSE65360). Original .fastq files were downloaded and then alignments were performed to obtained these files","3.12","hg19","BAM","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65360","Jan 01 2019","Homo sapiens",9606,TRUE,"GEO","Wenpin Hou <wp.hou3@gmail.com>","BamFile","BamFile","GSM1597096.bam","SCATEData/GSM1597096.bam:SCATEData/GSM1597096.bam.bai","bam"
